product,channel,gap_start_utc,gap_end_utc,gap_seconds
M1,C02,2022-08-10T18:52:25+00:00,2022-08-10T19:22:25+00:00,1800
M1,C02,2022-08-15T21:20:28+00:00,2022-08-15T21:52:25+00:00,1917
M1,C02,2022-08-17T18:59:24+00:00,2022-08-17T19:22:24+00:00,1380
M1,C02,2022-08-21T18:59:24+00:00,2022-08-21T19:22:24+00:00,1380
M1,C02,2022-08-24T13:24:25+00:00,2022-08-24T13:52:25+00:00,1680
M1,C02,2022-08-25T11:52:25+00:00,2022-08-25T12:24:25+00:00,1920
M1,C02,2022-08-25T18:54:24+00:00,2022-08-25T19:24:24+00:00,1800
M1,C02,2022-08-26T18:37:25+00:00,2022-08-26T19:22:25+00:00,2700
M1,C02,2022-08-29T16:28:24+00:00,2022-08-29T17:05:29+00:00,2225
M1,C02,2022-08-29T17:05:29+00:00,2022-08-29T17:52:24+00:00,2815
M1,C02,2022-08-29T18:54:24+00:00,2022-08-29T19:24:24+00:00,1800
M1,C02,2022-08-29T19:24:24+00:00,2022-08-29T19:52:24+00:00,1680
M1,C02,2022-09-02T14:59:25+00:00,2022-09-02T15:22:26+00:00,1381
M1,C02,2022-09-02T18:59:24+00:00,2022-09-02T19:22:24+00:00,1380
M1,C02,2022-09-05T09:13:27+00:00,2022-09-05T09:37:25+00:00,1438
M1,C02,2022-09-06T14:59:25+00:00,2022-09-06T15:22:26+00:00,1381
M1,C02,2022-09-06T18:59:24+00:00,2022-09-06T19:22:24+00:00,1380
M1,C02,2022-09-06T20:52:24+00:00,2022-09-06T21:22:24+00:00,1800
M1,C02,2022-09-07T16:24:25+00:00,2022-09-07T16:52:25+00:00,1680
M1,C02,2022-09-08T15:54:25+00:00,2022-10-13T16:24:25+00:00,3025800
M1,C02,2022-10-13T20:24:25+00:00,2022-10-13T20:52:25+00:00,1680
M1,C02,2022-10-14T18:59:24+00:00,2022-10-14T19:22:24+00:00,1380
M1,C02,2022-10-17T02:14:25+00:00,2022-10-17T02:52:25+00:00,2280
