n_gates,max_dbz,area30,area40,top30_km,cen_lat,cen_lon,radar,hour,key
72750,53.0,6877.0,747.0,10.683,32.32630564156539,-115.87356380446921,KYUX,0.015555555555555555,2023/09/01/KYUX/KYUX20230901_000056_V06
79634,56.0,7359.0,1092.0,10.747,32.44643776246948,-115.7382885061166,KYUX,0.08972222222222222,2023/09/01/KYUX/KYUX20230901_000523_V06
78278,55.0,6480.0,393.0,6.998,32.426030959272026,-115.77684682558659,KYUX,0.23222222222222222,2023/09/01/KYUX/KYUX20230901_001356_V06
70738,47.5,4623.0,80.0,9.639,32.45433714557648,-115.79260155343992,KYUX,0.37666666666666665,2023/09/01/KYUX/KYUX20230901_002236_V06
69058,51.5,3264.0,40.0,6.899,32.36946409078108,-115.9143961225518,KYUX,0.515,2023/09/01/KYUX/KYUX20230901_003054_V06
68268,47.5,3811.0,21.0,9.028,32.31841662399621,-115.99327612221421,KYUX,0.6527777777777778,2023/09/01/KYUX/KYUX20230901_003910_V06
61084,52.0,3959.0,146.0,7.278,32.49619439890077,-115.74417462139373,KYUX,0.7977777777777778,2023/09/01/KYUX/KYUX20230901_004752_V06
51033,46.5,1990.0,47.0,6.74,32.5379465735999,-115.70301352831999,KYUX,0.9380555555555555,2023/09/01/KYUX/KYUX20230901_005617_V06
47515,44.5,1077.0,1.0,5.509,32.38376376993677,-116.0029513203638,KYUX,1.0775,2023/09/01/KYUX/KYUX20230901_010439_V06
47951,40.5,461.0,3.0,5.996,32.39851443827677,-116.07128239298956,KYUX,1.2152777777777777,2023/09/01/KYUX/KYUX20230901_011255_V06
44972,50.5,264.0,3.0,6.044,32.44330489695774,-116.1223447115248,KYUX,1.3561111111111113,2023/09/01/KYUX/KYUX20230901_012122_V06
40702,48.0,307.0,11.0,8.147,32.6102632633317,-116.24294647785347,KYUX,1.498888888888889,2023/09/01/KYUX/KYUX20230901_012956_V06
35982,47.5,297.0,9.0,8.182,32.84281745452919,-116.44226187718792,KYUX,1.6397222222222223,2023/09/01/KYUX/KYUX20230901_013823_V06
31122,44.5,124.0,7.0,6.426,32.714384023229655,-116.23588647373155,KYUX,1.7805555555555554,2023/09/01/KYUX/KYUX20230901_014650_V06
