n_gates,max_dbz,area30,area40,top30_km,cen_lat,cen_lon,radar,hour,key
60375,55.0,6296.0,785.0,10.683,32.22868551185099,-116.00007333490842,KYUX,0.015555555555555555,2023/09/01/KYUX/KYUX20230901_000056_V06
67141,56.0,6282.0,803.0,8.747,32.23845392490681,-116.00983484679264,KYUX,0.08972222222222222,2023/09/01/KYUX/KYUX20230901_000523_V06
68325,49.5,5602.0,191.0,5.848,32.242611337917154,-116.01634064993085,KYUX,0.23222222222222222,2023/09/01/KYUX/KYUX20230901_001356_V06
60659,48.5,4088.0,60.0,9.639,32.271137769420264,-116.04058815790927,KYUX,0.37666666666666665,2023/09/01/KYUX/KYUX20230901_002236_V06
60816,59.0,3135.0,55.0,6.899,32.2836235032818,-116.03584613563301,KYUX,0.515,2023/09/01/KYUX/KYUX20230901_003054_V06
64350,51.0,3755.0,40.0,6.421,32.295080302737766,-116.02914942182636,KYUX,0.6527777777777778,2023/09/01/KYUX/KYUX20230901_003910_V06
55854,53.5,3440.0,14.0,6.66,32.30108136722713,-116.02996333784134,KYUX,0.7977777777777778,2023/09/01/KYUX/KYUX20230901_004752_V06
46638,44.5,1573.0,4.0,6.74,32.307271606064496,-116.03902577515565,KYUX,0.9380555555555555,2023/09/01/KYUX/KYUX20230901_005617_V06
43356,53.0,1010.0,19.0,5.509,32.37090836910182,-116.06520499714075,KYUX,1.0775,2023/09/01/KYUX/KYUX20230901_010439_V06
45632,53.5,527.0,14.0,5.996,32.44079447948131,-116.07060409346126,KYUX,1.2152777777777777,2023/09/01/KYUX/KYUX20230901_011255_V06
42994,50.5,350.0,12.0,6.044,32.51407458803936,-116.10952551719737,KYUX,1.3561111111111113,2023/09/01/KYUX/KYUX20230901_012122_V06
39639,54.5,471.0,34.0,8.147,32.650233099887245,-116.18300013888425,KYUX,1.498888888888889,2023/09/01/KYUX/KYUX20230901_012956_V06
35754,55.5,554.0,111.0,8.182,32.789549996276286,-116.2633027326652,KYUX,1.6397222222222223,2023/09/01/KYUX/KYUX20230901_013823_V06
30615,50.5,228.0,44.0,6.426,32.72459985664182,-116.15561447221882,KYUX,1.7805555555555554,2023/09/01/KYUX/KYUX20230901_014650_V06
28819,55.5,268.0,66.0,4.558,32.6954983499284,-116.12597846484951,KYUX,1.9202777777777775,2023/09/01/KYUX/KYUX20230901_015513_V06
20932,61.0,461.0,123.0,6.935,32.852130964348966,-116.18359893957901,KYUX,2.0594444444444444,2023/09/01/KYUX/KYUX20230901_020334_V06
21127,57.5,508.0,166.0,6.785,32.79358669957057,-116.1184885579562,KYUX,2.1277777777777778,2023/09/01/KYUX/KYUX20230901_020740_V06
21374,58.5,561.0,177.0,6.927,32.751997454686965,-116.12776456991205,KYUX,2.1980555555555554,2023/09/01/KYUX/KYUX20230901_021153_V06
22335,57.0,301.0,75.0,5.308,32.734521867129885,-116.07542641509093,KYUX,2.265833333333333,2023/09/01/KYUX/KYUX20230901_021557_V06
21506,60.5,354.0,85.0,4.567,32.723159076740195,-116.0494517233527,KYUX,2.3355555555555556,2023/09/01/KYUX/KYUX20230901_022008_V06
22159,59.0,382.0,140.0,4.948,32.74156906284303,-116.06205244003246,KYUX,2.403611111111111,2023/09/01/KYUX/KYUX20230901_022413_V06
21458,64.5,546.0,211.0,6.689,32.7128591187424,-116.06196791033292,KYUX,2.471388888888889,2023/09/01/KYUX/KYUX20230901_022817_V06
21422,68.0,523.0,183.0,4.072,32.70918645184105,-116.06330562323382,KYUX,2.5394444444444444,2023/09/01/KYUX/KYUX20230901_023222_V06
21810,62.5,570.0,205.0,4.067,32.709045581027496,-116.09648367124535,KYUX,2.607222222222222,2023/09/01/KYUX/KYUX20230901_023626_V06
